original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
photograph-videos-2026\photograph\animism-21.jpg,photograph-videos-2026\photograph\preview\animism-21.webp,7680,4320,10627.93,2000,1125,381.11,96.41,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-2.jpg,photograph-videos-2026\photograph\preview\animism-2.webp,3840,2160,894.19,2000,1125,15.12,98.31,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-22.jpg,photograph-videos-2026\photograph\preview\animism-22.webp,7680,4320,9593.54,2000,1125,328.12,96.58,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-23.jpg,photograph-videos-2026\photograph\preview\animism-23.webp,3840,2160,1403.88,2000,1125,195.02,86.11,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-24.jpg,photograph-videos-2026\photograph\preview\animism-24.webp,3840,2160,1800.39,2000,1125,174.21,90.32,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-3.jpg,photograph-videos-2026\photograph\preview\animism-3.webp,7680,4320,11634.83,2000,1125,504.59,95.66,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-5.jpg,photograph-videos-2026\photograph\preview\animism-5.webp,7680,4320,13057.48,2000,1125,706.84,94.59,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-4.jpg,photograph-videos-2026\photograph\preview\animism-4.webp,7680,4320,7959.94,2000,1125,326.48,95.9,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-6.jpg,photograph-videos-2026\photograph\preview\animism-6.webp,7680,4320,10450.71,2000,1125,449.29,95.7,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-7.jpg,photograph-videos-2026\photograph\preview\animism-7.webp,7680,4320,8109.97,2000,1125,329.41,95.94,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-8.jpg,photograph-videos-2026\photograph\preview\animism-8.webp,7680,4320,8120.16,2000,1125,324.96,96,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-9.jpg,photograph-videos-2026\photograph\preview\animism-9.webp,7680,4320,7548.89,2000,1125,368.55,95.12,SKIPPED_UP_TO_DATE
photograph-videos-2026\video\a-wedding-within-shan-shui.png,photograph-videos-2026\video\preview\a-wedding-within-shan-shui.webp,1626,743,1527,1200,548,51.44,96.63,SKIPPED_UP_TO_DATE
photograph-videos-2026\video\embodied-memories-of-weishan.jpg,photograph-videos-2026\video\preview\embodied-memories-of-weishan.webp,2275,1279,354.5,1200,675,66.5,81.24,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\main-1.jpg,paintings-2025\becoming-human\preview\main-1.webp,2441,2422,2624.4,1600,1588,106.9,95.93,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\main-3.jpg,paintings-2025\becoming-human\preview\main-3.webp,2647,2617,2983.34,1600,1582,80.69,97.3,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\main-2.jpg,paintings-2025\becoming-human\preview\main-2.webp,2186,2328,2300.05,1127,1200,62.22,97.29,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-1.jpg,paintings-2025\becoming-human\preview\part-1.webp,2946,2506,3457.38,1600,1361,134.86,96.1,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-11.jpg,paintings-2025\becoming-human\preview\part-11.webp,4032,3024,2817.8,2000,1500,212.5,92.46,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-10.jpg,paintings-2025\becoming-human\preview\part-10.webp,4032,3024,2890.01,2000,1500,223.57,92.26,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-12.jpg,paintings-2025\becoming-human\preview\part-12.webp,4032,3024,3065.98,2000,1500,231.75,92.44,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-2.jpg,paintings-2025\becoming-human\preview\part-2.webp,4032,3024,2837.56,2000,1500,210.99,92.56,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-3.jpg,paintings-2025\becoming-human\preview\part-3.webp,4032,3024,2424.39,2000,1500,118.94,95.09,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-4.jpg,paintings-2025\becoming-human\preview\part-4.webp,2947,3683,2322.94,1600,2000,172.39,92.58,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-5.jpg,paintings-2025\becoming-human\preview\part-5.webp,2846,2579,3855.42,1600,1450,250.45,93.5,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-6.jpg,paintings-2025\becoming-human\preview\part-6.webp,4032,3024,2725.62,2000,1500,182.76,93.29,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-7.jpg,paintings-2025\becoming-human\preview\part-7.webp,4032,3024,2753.32,2000,1500,175.25,93.63,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-8.jpg,paintings-2025\becoming-human\preview\part-8.webp,3200,2653,4961.11,1600,1327,257.17,94.82,SKIPPED_UP_TO_DATE
paintings-2025\becoming-human\part-9.jpg,paintings-2025\becoming-human\preview\part-9.webp,4032,3024,2748.07,2000,1500,192.89,92.98,SKIPPED_UP_TO_DATE
paintings-2025\covers\becoming-human.jpg,paintings-2025\covers\preview\becoming-human.webp,2186,2328,2300.05,1127,1200,62.22,97.29,SKIPPED_UP_TO_DATE
paintings-2025\covers\maternity-myth.png,paintings-2025\covers\preview\maternity-myth.webp,4378,3624,46492.81,2000,1656,335.48,99.28,SKIPPED_UP_TO_DATE
paintings-2025\covers\a-joke-on-fragmented-shan-shui.jpg,paintings-2025\covers\preview\a-joke-on-fragmented-shan-shui.webp,5482,5304,6936.39,2000,1935,238.58,96.56,SKIPPED_UP_TO_DATE
paintings-2025\covers\rock-and-tree-ⅰ.png,paintings-2025\covers\preview\rock-and-tree-ⅰ.webp,3664,3624,38910.98,2000,1978,453.99,98.83,SKIPPED_UP_TO_DATE
paintings-2025\covers\floating.jpg,paintings-2025\covers\preview\floating.webp,4384,6335,9340.3,1384,2000,278.12,97.02,SKIPPED_UP_TO_DATE
paintings-2025\covers\rock-and-tree-ⅱ.png,paintings-2025\covers\preview\rock-and-tree-ⅱ.webp,3897,3880,44308.61,2000,1991,269.15,99.39,SKIPPED_UP_TO_DATE
paintings-2025\covers\sinking.jpg,paintings-2025\covers\preview\sinking.webp,6295,5126,16005.38,2000,1629,285.47,98.22,SKIPPED_UP_TO_DATE
paintings-2025\covers\tree-spirit.jpg,paintings-2025\covers\preview\tree-spirit.webp,4911,6589,17545.93,1491,2000,215.84,98.77,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-1.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-1.webp,5217,5088,5055.33,2000,1951,147.09,97.09,SKIPPED_UP_TO_DATE
paintings-2025\covers\wildmans-paradise.jpg,paintings-2025\covers\preview\wildmans-paradise.webp,1304,1656,1416.57,945,1200,188.77,86.67,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-10.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-10.webp,5482,5304,6936.39,2000,1935,238.58,96.56,SKIPPED_UP_TO_DATE
